ZON_NM,DATE,px_mean,px_max
Ulsan,20180909,16.375,29
Ulsan,20180910,13.375,19
Ulsan,20180911,14.0,23
Ulsan,20180912,16.1666666667,23
Ulsan,20180913,13.4583333333,20
Ulsan,20180914,6.5,18
Ulsan,20180915,11.0416666667,35
Ulsan,20180916,24.4166666667,48
Ulsan,20180917,28.5294117647,35
Ulsan,20180918,36.4583333333,54
Ulsan,20180919,32.2083333333,48
Ulsan,20180920,15.875,31
Ulsan,20180921,11.7083333333,24
Ulsan,20180922,18.6666666667,30
Ulsan,20180923,32.7916666667,50
Ulsan,20180924,18.125,29
Ulsan,20180925,14.0833333333,23
Ulsan,20180926,9.91666666667,15
Ulsan,20180927,11.0416666667,17
Ulsan,20180928,12.9166666667,21
Ulsan,20180929,11.625,21
Ulsan,20180930,12.9166666667,33
Ulsan,20181001,11.0,22
Ulsan,20181002,9.94736842105,20
Ulsan,20181003,20.0416666667,29
Ulsan,20181004,16.3333333333,23
Ulsan,20181005,5.39130434783,14
Ulsan,20181006,8.28571428571,19
Ulsan,20181007,14.9583333333,31
Ulsan,20181008,19.375,31
Ulsan,20181009,18.4583333333,30
Ulsan,20181010,17.875,31
Ulsan,20181011,10.625,19
Ulsan,20181012,15.1666666667,27
Ulsan,20181013,11.5416666667,24
Ulsan,20181014,13.75,25
Ulsan,20181015,27.1428571429,45
Ulsan,20181016,48.375,59
Ulsan,20181017,29.9166666667,68
Ulsan,20181018,13.0434782609,26
Ulsan,20181019,12.9583333333,23
Ulsan,20181020,13.5416666667,23
Ulsan,20181021,17.75,30
Ulsan,20181022,20.125,28
Ulsan,20181023,24.2916666667,37
Ulsan,20181024,46.0,57
Ulsan,20181025,36.0,45
Ulsan,20181026,32.125,49
Ulsan,20181027,20.9583333333,35
Ulsan,20181028,18.2916666667,36
Ulsan,20181029,16.7083333333,27
Ulsan,20181030,13.2083333333,21
Ulsan,20181031,17.375,31
Incheon,20180301,40.6666666667,61
Incheon,20180302,68.9166666667,110
Incheon,20180303,47.0,79
Incheon,20180304,20.9090909091,41
Incheon,20180305,9.0,28
Incheon,20180306,29.8333333333,56
Incheon,20180307,34.7916666667,50
Incheon,20180308,36.0416666667,60
Incheon,20180309,38.6666666667,61
Incheon,20180310,29.9583333333,75
Incheon,20180311,54.0,78
Incheon,20180312,88.25,149
Incheon,20180313,50.5416666667,135
Incheon,20180314,23.4166666667,37
Incheon,20180315,17.5416666667,37
Incheon,20180316,12.9166666667,34
Incheon,20180317,29.875,49
Incheon,20180318,51.2083333333,125
Incheon,20180319,23.625,58
Incheon,20180320,16.4583333333,25
Incheon,20180321,14.0833333333,20
Incheon,20180322,36.875,66
Incheon,20180323,57.6086956522,103
Incheon,20180324,85.875,131
Incheon,20180325,98.7083333333,161
Incheon,20180326,52.1666666667,91
Incheon,20180327,73.2083333333,135
Incheon,20180328,41.625,85
Incheon,20180329,49.0,58
Incheon,20180330,58.5833333333,86
Incheon,20180331,56.3333333333,87
Incheon,20180401,59.9583333333,84
Incheon,20180402,55.875,79
Incheon,20180403,39.8695652174,61
Incheon,20180404,10.1428571429,39
Incheon,20180405,5.41666666667,15
Incheon,20180406,85.0952380952,281
Incheon,20180407,43.9583333333,75
Incheon,20180408,24.4583333333,46
Incheon,20180409,28.4583333333,53
Incheon,20180410,47.875,84
Incheon,20180411,50.7083333333,93
Incheon,20180412,44.5833333333,73
Incheon,20180413,38.875,59
Incheon,20180414,21.5,48
Incheon,20180415,67.625,117
Incheon,20180416,31.0,53
Incheon,20180417,38.5833333333,80
Incheon,20180418,40.2916666667,102
Incheon,20180419,49.9166666667,90
Incheon,20180420,72.0416666667,96
Incheon,20180421,48.9583333333,148
Incheon,20180422,37.2083333333,72
Incheon,20180423,7.625,22
Incheon,20180424,9.5,19
Incheon,20180425,26.375,50
Incheon,20180426,34.5833333333,75
Incheon,20180427,37.4166666667,59
Incheon,20180428,46.6666666667,65
Incheon,20180429,50.25,83
Incheon,20180430,55.75,90
Incheon,20180501,42.0,65
Incheon,20180502,25.1818181818,82
Incheon,20180503,28.6956521739,63
Incheon,20180504,39.6666666667,55
Incheon,20180505,36.125,53
Incheon,20180506,13.3333333333,29
Incheon,20180507,36.7083333333,68
Incheon,20180508,15.625,36
Incheon,20180509,18.2083333333,38
Incheon,20180510,26.2916666667,38
Incheon,20180511,34.7083333333,67
Incheon,20180512,17.5416666667,39
Incheon,20180513,17.875,46
Incheon,20180514,51.7083333333,93
Incheon,20180515,47.2857142857,96
Incheon,20180516,18.6666666667,55
Incheon,20180517,9.29166666667,24
Incheon,20180518,6.54166666667,12
Incheon,20180519,11.875,23
Incheon,20180520,12.75,44
Incheon,20180521,17.7916666667,32
Incheon,20180522,34.125,69
Incheon,20180523,43.6666666667,104
Incheon,20180524,99.1666666667,123
Incheon,20180525,78.25,121
Incheon,20180526,62.9166666667,91
Incheon,20180527,51.2083333333,69
Incheon,20180528,35.9583333333,66
Incheon,20180529,19.9583333333,44
Incheon,20180530,20.7916666667,32
Incheon,20180531,29.4166666667,45
Incheon,20180601,30.0416666667,44
Incheon,20180602,26.625,42
Incheon,20180603,23.6666666667,40
Incheon,20180604,27.5833333333,38
Incheon,20180605,35.125,47
Incheon,20180606,34.25,54
Incheon,20180607,17.875,25
Incheon,20180608,23.5416666667,46
Incheon,20180609,34.0833333333,61
Incheon,20180610,8.25,15
Incheon,20180611,7.21739130435,17
Incheon,20180612,10.8333333333,18
Incheon,20180613,18.875,37
Incheon,20180614,24.7916666667,47
Incheon,20180615,14.75,24
Incheon,20180616,18.625,29
Incheon,20180617,25.6666666667,44
Incheon,20180618,27.1666666667,37
Incheon,20180619,21.4583333333,32
Incheon,20180620,32.6666666667,40
Incheon,20180621,32.5833333333,42
Incheon,20180622,36.375,56
Incheon,20180623,24.0,35
Incheon,20180624,27.0416666667,51
Incheon,20180625,32.7916666667,46
Incheon,20180626,30.0833333333,56
Incheon,20180627,10.9090909091,20
Incheon,20180628,29.2777777778,61
Incheon,20180629,15.9583333333,29
Incheon,20180630,39.625,98
Incheon,20180701,13.625,35
Incheon,20180702,9.79166666667,20
Incheon,20180703,17.4583333333,28
Incheon,20180704,15.0,26
Incheon,20180705,15.4166666667,35
Incheon,20180706,7.08333333333,17
Incheon,20180707,9.85,18
Incheon,20180708,13.2083333333,29
Incheon,20180709,9.45833333333,17
Incheon,20180710,18.8333333333,46
Incheon,20180711,22.8333333333,35
